cot 0,cot 1,cot 2,cot 3,cot 4,cot 5
0.0,0.07373046875,0.4682159423828125,0.31597900390625,0.0973663330078125,0.044708251953125
0.0015106201171875,0.0605621337890625,0.5274810791015625,0.02020263671875,0.2655029296875,0.1247406005859375
0.002685546875,0.13665771484375,0.44232177734375,0.0485687255859375,0.28338623046875,0.0863800048828125
0.0005950927734375,0.068145751953125,0.520355224609375,0.170166015625,0.1289825439453125,0.11175537109375
4.57763671875e-05,0.0572052001953125,0.5196380615234375,0.1868743896484375,0.1218719482421875,0.1143646240234375
0.0,0.0603179931640625,0.5381011962890625,0.1918792724609375,0.1650543212890625,0.044647216796875
9.1552734375e-05,0.0387420654296875,0.5350799560546875,0.186492919921875,0.1741180419921875,0.0654754638671875
0.0,0.056915283203125,0.518157958984375,0.183074951171875,0.20245361328125,0.039398193359375
0.00140380859375,0.061492919921875,0.4905242919921875,0.1824188232421875,0.2113494873046875,0.0528106689453125
0.0,0.0766143798828125,0.4954681396484375,0.14007568359375,0.238800048828125,0.049041748046875
0.0005950927734375,0.084625244140625,0.581329345703125,0.1052703857421875,0.1496429443359375,0.0785369873046875
0.0,0.0936126708984375,0.5078582763671875,0.2247467041015625,0.1154022216796875,0.058380126953125
0.001678466796875,0.0558319091796875,0.4975738525390625,0.02178955078125,0.3097991943359375,0.1133270263671875
0.0029296875,0.0974884033203125,0.469024658203125,0.1597137451171875,0.1894683837890625,0.0813751220703125
0.0010528564453125,0.0469970703125,0.50018310546875,0.17724609375,0.21881103515625,0.0557098388671875
0.0004730224609375,0.0588226318359375,0.534271240234375,0.1328582763671875,0.2126007080078125,0.06097412109375
0.0001373291015625,0.206573486328125,0.5348358154296875,0.0369873046875,0.177459716796875,0.04400634765625
0.1100006103515625,0.0888519287109375,0.5582733154296875,0.0,0.1143951416015625,0.12847900390625
0.0006103515625,0.0754547119140625,0.5421142578125,0.0,0.2085723876953125,0.173248291015625
0.0019683837890625,0.0445709228515625,0.5357666015625,0.1716156005859375,0.1991729736328125,0.046905517578125
0.006927490234375,0.0363006591796875,0.5167694091796875,0.13629150390625,0.227569580078125,0.076141357421875
6.103515625e-05,0.0545654296875,0.4889678955078125,0.2140960693359375,0.2057037353515625,0.0366058349609375
0.0015106201171875,0.0878448486328125,0.51214599609375,0.1274871826171875,0.2149505615234375,0.056060791015625
0.000213623046875,0.0516204833984375,0.49652099609375,0.22705078125,0.1371612548828125,0.087432861328125
6.103515625e-05,0.0484466552734375,0.5175018310546875,0.0268402099609375,0.204071044921875,0.2030792236328125
7.62939453125e-05,0.0493927001953125,0.52215576171875,0.1755828857421875,0.197357177734375,0.0554351806640625
0.0,0.045623779296875,0.520233154296875,1.52587890625e-05,0.2872772216796875,0.1468505859375
